DATA_MONTH	ITEM_ID	ITEM_NAME	BRAND_ID	BRAND_NAME	ITEM_PRICE	ITEM_SALES_VOLUME	ITEM_SALES_AMOUNT	CATE_NAME_LV1	CATE_NAME_LV2	CATE_NAME_LV3	CATE_NAME_LV4	CATE_NAME_LV5	ITEM_FAV_NUM	TOTAL_EVAL_NUM	ITEM_STOCK	ITEM_DELIVERY_PLACE	ITEM_PROD_PLACE	ITEM_PARAM	USER_ID	SHOP_NAME
202106	627719281725	小米全自动智能门锁指纹锁家用防盗门锁密码锁房门锁电子锁蓝牙手机NFC开锁霸王锁米家智能锁推拉款防小黑盒	3506680.0	Xiaomi/小米	1549.0	545	844205.0	其他	智能设备	智能家庭	智能安防		202.0	18.0	333.0	上海		品牌:Xiaomi/小米；型号:小米全自动智能门锁；颜色分类:小米全自动智能门锁 小米全自动智能门锁【顺丰】 小米全自动智能门锁+【小米智能猫眼】 小米全自动智能门锁+【小米可视门铃2】；生产企业:小米；附加功能:其他；保修期:36个月	2201475258963	小米山人专卖店
202106	634315363530	Yeelight智能面板灯 厨卫用嵌入式智能灯 色温照明LED面板灯套装			54.0	461	24894.0	其他	家装灯饰光源	灯具灯饰	格栅/面板灯				490.0	广东佛山		证书编号：2018011001128492；证书状态：有效；产品名称：电源插座安装的夜灯（感应夜灯，自镇流LED模块，Ⅱ类，IP20，适宜直接安装在普通可燃材料表面，单相两极插头，ta:40℃）；3C规格型号：YLYD03YL 0.4W（4×0.06 W/LED 模块）。220V～ 50Hz；功率: 11W(含)-19W(含)；尺寸: 300mmx300mm 300MMX600MM；颜色分类: 皓白智能面板灯 皓白色温款3030 非智能面板灯；电压: 111V~240V（含）；是否智能操控: 是	2207887379806	yeelight易来专卖店
202106	641819675270	端午包装设计食品标签化妆品纸箱瓶贴礼盒子平面外袋包装彩盒定制			100.0	1540	154000.0	其他	包装	礼品包装	礼品盒								2208157004186	墨月光旗舰店
202106	636207681019	太阳能草坪灭蚊灯户外家用防水花园庭院别墅室外杀虫电击式驱蚊灯	678752395.0	GELANHOTI/格蓝豪庭	179.0	148	26492.0	其他	家装灯饰光源	灯具灯饰	景观庭院灯饰							证书编号：2020011001338914；证书状态：有效；产品名称：固定式灯具（固定地面式，白炽灯，Ⅰ类，IP44，适宜直接安装在普通可燃材料表面，E27）；3C规格型号：见附件。220-240V～ 50/60Hz；品牌: GELANHOTI/格蓝豪庭；型号: YD-X308；功率: 5W及以下；风格: 简约现代；颜色分类: 太阳能/平头哥灭蚊柱头灯/白光 太阳能/平头哥灭蚊柱头灯/暖光 太阳能/平头哥灭蚊壁灯/白光 太阳能/平头哥灭蚊壁灯/暖光 太阳能/平头哥灭蚊地插灯/白光 太阳能/平头哥灭蚊地插灯/暖光；灯具是否带光源: 带光源；电压: ≤36V(含)；灯身材质: 铝；灯罩材质: 铝；光源类型: LED；工艺: 镂空雕花；照射面积: 5㎡-10㎡；控制类型: 其他；质保年限: 3年；是否智能操控: 否；防护等级: IP55	2219934624	格蓝豪庭旗舰店
202106	618834599254	新中式全铜玉石客厅灯具中国风别墅复式楼大厅餐厅纯铜云石大吊灯	29534.0	other/其他	18168.0	40	726720.0	其他	家装灯饰光源	灯具灯饰	吊灯		66.0	42.0	3090.0	广东中山	中国大陆	品牌:other/其他；型号:GT861；功率:61W(含)-70W(含)；风格:现代中式；产地:中国大陆；适用空间:客厅,餐厅,书房,卧室,其他/other；颜色分类:6头-直径70cm*高47cm,8头-直径86cm*高45cm,10头-直径110*高49cm,12头-直径120*高56cm,8+4头-直径90cm*高60cm,10+5头-直径110cm*高64cm,12+6头-直径120cm*高63cm,14+7头-直径150*高68cm,16+8-头-直径156*高75cm,16+12+8+4头-直径160cm*高220cm,可接受尺寸、头数定制；灯具是否带光源:带光源；同城服务:同城卖家入户安装；电压:100V-240V；灯身主材质:铜；灯罩主材质:石材；光源类型:LED；光源个数:8个；工艺:雕刻；照射面积:15㎡-30㎡；灯罩辅材质:石材；质保年限:10年；灯身辅材质:铜；智能类型:不支持智能；是否智能操控:否；灯具型状:其他异型吊灯；配件数量:21个；灯头个数:8个；吊灯类型:全铜/铜吊灯	1888967855	铜艺灯饰
202106	619798879390	地面变形缝抗震型铝合金建筑变形缝盖板外墙不锈钢伸缩缝厂家批发			20.0	3678	73560.0	其他	金属材料及制品	铝材	其他铝制品				2372006.0		中国大陆	型号: 地面；产地: 中国大陆；颜色分类: SK 地面-F-WTM FOM 地面FDM加厚-2 SFFS FJM FL FM-FGM FEM 地面-FS-WFS- FRW-FRWL FRWS FFS 内墙IL2X 外墙E-EM 外墙EM 内墙SIM 外墙IL2 外墙I-IL2 内墙LI1X 外墙ER2 外墙ER1 内墙 一对一专业指导；产品名称: 地面变形缝	1992191603	华艺变形缝
202106	620467778661	东南亚竹编吊灯中式禅意吧台餐厅灯日式民宿荷叶雨伞造型装饰灯具		other/其他	68.0	471	32028.0	其他	家装灯饰光源	灯具灯饰	吊灯				3412.0		中国大陆	CCC证书编号: 2016011001929354；品牌: other/其他；型号: 飞碟吊灯；功率: 11W(含)-15W(含)；风格: 东南亚；产地: 中国大陆；适用空间: 客厅 餐厅 书房 卧室 其他/other；颜色分类: 乳白色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 A款35CM A款45CM A款55CM A款65CM A款75CM A款85CM A款100CM B款35CM B款45CM B款55CM B款65CM B款75CM B款85CM C款55CM C款65CM C款75CM C款85CM C款100CM D款65CM D款75CM D款85CM D款100CM E款75CM E款85CM；灯具是否带光源: 带光源；同城服务: 同城买家上门提货；电压: 111V~240V（含）；灯身主材质: 草藤\柳编；灯罩主材质: 草藤\柳编；光源类型: 白炽灯 LED；光源个数: 1个；工艺: 手工编织；照射面积: 10㎡-15㎡；灯罩辅材质: 草藤\柳编；质保年限: 3年；灯身辅材质: 铁；智能类型: 不支持智能；是否智能操控: 否；灯具型状: 鱼线型吊灯；配件数量: 1个；灯头个数: 1个；吊灯类型: 藤艺吊灯	3010860464	竹木空间艺术灯饰
202106	615897246796	神舟战神二手笔记本电脑游戏本i7高配独显吃鸡低价清仓学生正品	21660.0	Hasee/神舟	920.0	76	69920.0	其他	闲鱼优品	数码	笔记本电脑		3600.0	525.0	739.0	广东广州		品牌:Hasee/神舟；颜色分类:A组,B组,C组；套餐类型:标准版；分类类别:原装二手；配置等级:套餐1,套餐2,套餐3,套餐4,套餐5,套餐6,套餐7,套餐8,套餐9,套餐10,套餐11,套餐12,套餐13,套餐14,套餐15,套餐16,套餐17,套餐18,套餐19,套餐20,套餐21,套餐22,套餐23,套餐24；优品成色:C级9新	112243422	憨憨优品
202106	623093261031	先正达亮泰氯虫苯甲酰胺阿维菌素小菜蛾水稻卷叶螟农药杀虫剂20ml		亮泰	5.0	5843	29215.0	其他	农用物资	农药	杀虫剂							产品名称: 亮泰 6% 阿维·氯苯酰 甜菜夜蛾 小菜蛾 稻纵卷叶螟 杀虫剂 ；品牌: 亮泰；生产企业: 先正达南通作物保护有限公司；净含量: 20ml 1000ml 100ml；毒性: 低毒；剂型: 悬浮剂；农药成分: 氯虫苯甲酰胺+阿维菌素；农药产品标准证号: Q/320601 ZN 028-2013；农药登记证号: PD20150184；农药名称: 阿维·氯苯酰；有效成分总含量: 6%；防治对象: 甜菜夜蛾 小菜蛾 棉铃虫；农药生产许可证/批准文号: HNP32224-A8661	1085303077	飞翔农资
202106	37463592899	先正达 阿米妙收苯甲嘧菌酯葡萄西瓜炭疽病多肉烟煤病农药杀菌剂	67219707.0	先正达	5.8	25063	145365.4	其他	农用物资	农药	杀菌剂		5534.0	7416.0	6772016.0	山东临沂		品牌:先正达；生产企业:先正达南通作物保护有限公司；净含量:10ml,20ml,100ml,1000ml,500ml；毒性:低毒；剂型:悬浮剂；农药成分:苯醚甲环唑+嘧菌酯；农药产品标准证号:Q/320583GQB53-2016；农药登记证号:PD20150707；农药名称:苯甲·嘧菌酯；有效成分总含量:325克/升；防治对象:蔓枯病 炭疽病 叶斑病；农药生产许可证/批准文号:HNP32224-D4082	1085303077	飞翔农资
